"date","M.BCPI","M.BCNE","M.ENER","M.MTLS","M.FOPR","M.AGRI","M.FISH"
"1998-01-01","252.27","223.93","404.08","252.99","294.94","152.17","923.87"
"1998-02-01","249.85","226.81","379.37","253.26","303.04","151.78","974.73"
"1998-03-01","246.61","224.15","373.42","251.46","292.70","155.28","950.34"
"1998-04-01","251.62","229.02","379.69","254.02","305.24","155.35","954.50"
"1998-05-01","246.72","223.42","376.88","245.82","289.44","160.31","922.11"
"1998-06-01","237.64","218.70","349.44","237.16","288.56","155.16","856.41"
"1998-07-01","238.24","215.78","363.68","237.53","291.07","144.95","874.03"
"1998-08-01","232.75","214.58","340.60","233.97","302.82","134.93","866.67"
"1998-09-01","229.85","208.91","348.05","235.96","286.66","132.99","832.80"
"1998-10-01","229.77","205.69","360.74","232.57","277.54","134.28","835.36"
"1998-11-01","230.10","207.81","353.99","233.22","288.27","130.07","887.40"
"1998-12-01","224.05","204.43","336.05","227.19","290.57","125.10","789.98"
"1999-01-01","230.73","212.29","341.21","226.51","297.94","137.66","853.02"
"1999-02-01","227.32","213.91","322.25","228.07","302.32","137.13","852.32"
"1999-03-01","233.34","212.11","353.15","228.10","296.98","135.76","944.13"
"1999-04-01","242.73","213.56","390.21","234.30","295.34","138.85","836.67"
"1999-05-01","255.57","220.91","424.67","238.66","307.61","143.61","885.81"
"1999-06-01","259.94","226.08","426.90","233.14","326.37","144.93","834.45"
"1999-07-01","269.28","230.42","455.91","243.12","342.35","137.20","859.55"
"1999-08-01","268.57","221.58","486.84","249.08","309.15","138.78","863.65"
"1999-09-01","277.56","220.21","541.39","257.84","304.18","134.82","887.47"
"1999-10-01","270.58","217.41","515.33","265.25","289.41","136.81","883.95"
"1999-11-01","290.37","228.41","575.45","263.72","316.45","141.34","888.85"
"1999-12-01","284.45","228.48","542.17","268.96","313.36","142.06","848.53"
"2000-01-01","294.22","233.76","565.36","276.91","319.12","145.98","858.49"
"2000-02-01","307.71","236.75","613.54","281.78","320.86","148.10","930.61"
"2000-03-01","310.74","234.55","633.99","275.79","314.45","152.09","894.26"
"2000-04-01","304.06","232.47","611.03","265.04","310.84","155.36","940.81"
"2000-05-01","319.84","227.64","700.91","267.73","297.29","154.07","925.86"
"2000-06-01","337.88","225.40","798.40","265.17","293.11","154.29","886.75"
"2000-07-01","325.77","222.38","749.14","267.97","282.58","154.78","899.42"
"2000-08-01","329.76","214.60","802.96","264.96","270.24","147.56","907.66"
"2000-09-01","345.55","214.55","889.27","273.51","272.14","142.75","799.02"
"2000-10-01","338.52","209.39","875.20","260.38","264.46","143.30","817.85"
"2000-11-01","350.94","210.63","941.05","255.15","269.37","145.03","797.66"
"2000-12-01","369.09","210.52","1050.88","261.81","260.47","149.12","859.16"
"2001-01-01","356.52","206.09","1002.45","262.36","253.63","144.31","858.88"
"2001-02-01","323.98","206.33","816.36","258.25","258.34","140.84","987.50"
"2001-03-01","316.14","211.51","753.62","250.26","266.34","151.44","962.75"
"2001-04-01","322.98","219.01","758.65","248.58","279.45","159.36","1008.29"
"2001-05-01","324.19","240.48","688.74","254.93","328.19","170.50","915.18"
"2001-06-01","306.09","232.10","634.30","247.22","305.14","174.79","835.71"
"2001-07-01","282.40","221.28","563.99","239.18","278.37","174.58","877.26"
"2001-08-01","282.95","224.84","556.60","234.60","296.04","171.91","816.06"
"2001-09-01","255.54","217.26","466.52","230.75","279.35","167.32","918.13"
"2001-10-01","242.64","200.28","458.39","225.65","246.37","158.78","737.46"
"2001-11-01","233.42","200.22","422.60","228.72","246.07","155.76","802.81"
"2001-12-01","236.88","200.74","433.92","231.91","243.49","157.76","802.71"
"2002-01-01","238.73","205.88","427.57","237.66","250.41","159.94","884.82"
"2002-02-01","246.23","211.34","443.20","240.33","260.12","160.95","1037.94"
"2002-03-01","273.81","216.58","543.13","245.47","274.44","159.44","955.03"
"2002-04-01","281.40","210.52","595.36","245.66","262.96","156.50","815.56"
"2002-05-01","283.77","209.96","608.12","244.88","258.76","157.20","940.92"
"2002-06-01","273.89","207.45","570.95","249.16","251.62","157.33","809.13"
"2002-07-01","274.67","208.92","569.74","246.17","250.43","164.55","826.33"
"2002-08-01","275.12","202.59","593.34","238.59","239.85","163.38","785.33"
"2002-09-01","280.80","196.44","643.06","240.18","225.92","160.55","750.38"
"2002-10-01","288.12","197.26","676.33","240.80","225.62","161.91","796.72"
"2002-11-01","279.38","196.37","635.90","248.48","218.50","160.73","895.47"
"2002-12-01","300.33","200.14","728.41","250.96","228.02","161.10","804.09"
"2003-01-01","322.29","202.70","823.51","258.35","230.55","160.26","851.11"
"2003-02-01","362.81","209.69","1001.79","263.86","244.52","161.32","892.94"
"2003-03-01","334.44","208.01","862.51","257.53","240.98","161.16","1050.83"
"2003-04-01","314.75","213.33","751.38","249.59","258.13","163.09","1102.45"
"2003-05-01","325.75","216.98","789.28","260.82","257.14","169.64","960.73"
"2003-06-01","339.19","225.98","821.72","263.27","280.75","170.59","950.41"
"2003-07-01","325.31","223.79","766.65","266.49","279.33","164.92","897.27"
"2003-08-01","330.88","230.05","772.74","271.42","297.10","162.77","903.79"
"2003-09-01","320.08","237.18","708.06","273.85","318.01","163.59","843.92"
"2003-10-01","321.95","230.24","734.20","283.06","291.81","164.64","737.71"
"2003-11-01","324.81","236.30","729.93","292.09","296.32","169.37","816.90"
"2003-12-01","356.73","238.23","862.93","307.13","297.10","166.12","782.26"
"2004-01-01","370.24","248.81","890.14","317.23","317.15","168.62","891.80"
"2004-02-01","368.41","261.25","846.97","325.02","341.09","176.06","899.98"
"2004-03-01","378.15","266.85","872.94","323.93","343.92","189.75","882.18"
"2004-04-01","389.41","275.51","896.91","322.37","371.72","191.53","853.43"
"2004-05-01","412.30","278.46","987.12","303.48","389.56","198.81","842.10"
"2004-06-01","404.66","277.63","956.22","314.75","373.92","199.90","892.44"
"2004-07-01","407.98","278.97","966.68","325.02","374.70","194.66","933.40"
"2004-08-01","413.07","282.40","979.00","324.57","394.53","187.49","962.05"
"2004-09-01","404.66","276.46","960.51","330.30","371.81","187.52","910.41"
"2004-10-01","437.52","264.70","1149.08","347.23","326.61","184.23","885.31"
"2004-11-01","422.89","267.38","1070.27","352.26","320.08","191.52","1016.24"
"2004-12-01","420.88","271.09","1048.47","355.25","339.02","182.54","1017.51"
"2005-01-01","430.08","273.48","1073.51","357.17","348.02","181.46","978.48"
"2005-02-01","438.92","283.01","1085.47","365.75","372.53","180.20","1036.97"
"2005-03-01","477.07","290.15","1225.60","378.03","375.21","186.52","1144.55"
"2005-04-01","475.23","283.65","1235.99","371.41","359.57","187.05","1111.08"
"2005-05-01","448.28","276.83","1140.28","361.99","343.35","189.65","1063.01"
"2005-06-01","477.63","276.23","1268.29","363.58","343.22","189.17","945.37"
"2005-07-01","489.39","271.93","1333.37","361.00","334.16","185.72","1010.79"
"2005-08-01","534.32","268.45","1555.81","371.84","314.54","186.48","993.78"
"2005-09-01","588.00","274.98","1793.53","371.33","335.93","185.43","1004.65"
"2005-10-01","588.52","271.53","1810.05","374.95","321.05","186.25","1030.98"
"2005-11-01","536.81","278.80","1528.75","389.11","331.89","185.54","1110.61"
"2005-12-01","582.12","288.24","1711.41","416.39","338.81","185.74","1201.18"
"2006-01-01","548.73","297.48","1518.79","441.43","350.54","184.73","1056.85"
"2006-02-01","522.96","300.82","1390.05","454.52","345.22","185.52","1245.29"
"2006-03-01","516.83","301.48","1360.54","460.64","339.17","187.68","1252.48"
"2006-04-01","551.87","317.31","1467.13","518.86","342.60","188.69","1113.23"
"2006-05-01","548.17","332.96","1403.58","577.74","339.22","196.99","991.64"
"2006-06-01","538.28","320.50","1397.05","530.22","330.88","202.19","976.36"
"2006-07-01","553.71","330.51","1435.56","572.10","328.19","204.75","941.03"
"2006-08-01","567.43","326.79","1507.18","592.06","316.59","195.13","838.77"
"2006-09-01","496.80","326.41","1205.61","585.12","316.66","196.29","942.82"
"2006-10-01","499.66","324.66","1222.48","606.79","295.59","198.31","976.33"
"2006-11-01","531.87","326.66","1351.01","612.47","297.90","199.92","877.96"
"2006-12-01","531.37","332.29","1333.86","625.32","305.91","198.00","951.52"
"2007-01-01","501.90","332.71","1210.11","620.37","312.77","195.57","984.37"
"2007-02-01","544.88","341.73","1368.20","643.70","309.81","206.06","976.24"
"2007-03-01","540.54","345.94","1337.57","667.38","300.69","209.09","1053.17"
"2007-04-01","567.45","357.57","1419.86","708.01","300.07","212.62","1266.58"
"2007-05-01","569.69","361.66","1417.65","712.39","303.04","222.06","981.21"
"2007-06-01","572.86","355.83","1448.64","656.87","321.28","224.72","923.17"
"2007-07-01","566.37","349.52","1439.21","626.96","319.65","225.90","1025.93"
"2007-08-01","551.28","335.82","1414.54","575.57","315.45","227.36","985.12"
"2007-09-01","567.02","336.86","1481.98","583.86","300.78","237.76","945.29"
"2007-10-01","598.38","339.80","1616.99","605.83","291.44","239.91","916.61"
"2007-11-01","627.62","340.91","1752.10","600.25","299.58","239.35","921.52"
"2007-12-01","617.23","335.45","1722.35","561.44","296.25","252.84","991.56"
"2008-01-01","648.78","347.36","1835.94","593.56","285.91","268.37","1120.23"
"2008-02-01","686.64","378.79","1909.39","632.56","286.49","322.86","1146.40"
"2008-03-01","728.23","378.97","2095.35","665.73","283.60","303.01","1214.56"
"2008-04-01","766.67","388.81","2239.74","714.70","297.23","289.45","1103.59"
"2008-05-01","829.62","397.64","2504.28","732.17","309.85","292.77","1024.43"
"2008-06-01","881.31","397.64","2755.75","717.32","318.10","297.67","887.74"
"2008-07-01","860.70","396.86","2659.45","719.24","330.60","285.32","945.29"
"2008-08-01","748.85","381.06","2182.62","670.52","341.47","271.88","806.42"
"2008-09-01","687.11","358.25","1974.57","638.28","325.41","245.94","917.08"
"2008-10-01","545.82","308.26","1498.21","544.65","292.16","208.17","749.06"
"2008-11-01","469.49","290.99","1219.71","494.62","279.65","203.88","760.22"
"2008-12-01","391.92","271.84","954.66","454.00","259.45","195.45","749.73"
"2009-01-01","399.85","280.16","963.17","468.65","247.71","207.92","983.82"
"2009-02-01","381.79","279.43","892.46","475.95","243.45","205.58","942.96"
"2009-03-01","410.36","281.13","1003.44","492.21","235.03","205.43","968.73"
"2009-04-01","413.11","286.84","1000.71","504.90","236.82","211.39","889.01"
"2009-05-01","456.04","295.69","1157.79","523.97","233.58","222.40","904.88"
"2009-06-01","491.81","300.91","1298.79","551.41","241.41","218.92","748.29"
"2009-07-01","462.75","295.07","1188.23","552.49","240.17","205.51","873.35"
"2009-08-01","484.47","301.21","1265.49","586.52","249.89","201.35","710.55"
"2009-09-01","466.86","291.21","1217.18","563.69","248.34","191.95","728.28"
"2009-10-01","507.80","297.02","1383.87","580.08","253.81","193.45","752.82"
"2009-11-01","518.20","309.58","1391.57","599.03","270.14","200.90","799.25"
"2009-12-01","545.47","316.51","1493.94","622.33","279.50","200.23","821.97"
"2010-01-01","568.36","321.15","1585.06","618.11","284.47","206.61","934.32"
"2010-02-01","555.62","322.66","1519.90","594.35","310.44","207.46","999.75"
"2010-03-01","562.19","333.72","1514.66","615.02","314.21","215.50","1206.19"
"2010-04-01","574.73","347.40","1529.20","639.05","341.73","220.47","1051.09"
"2010-05-01","538.76","337.79","1397.84","612.47","332.79","217.11","1142.42"
"2010-06-01","542.67","323.25","1458.71","588.71","304.32","217.04","885.34"
"2010-07-01","542.42","326.94","1446.01","591.38","302.43","224.08","920.76"
"2010-08-01","540.14","338.15","1403.50","615.22","305.47","235.50","863.04"
"2010-09-01","530.76","346.38","1339.14","634.15","311.66","241.67","787.60"
"2010-10-01","561.89","355.46","1448.50","664.55","320.72","240.65","769.62"
"2010-11-01","580.40","363.57","1506.48","670.50","332.02","247.73","845.14"
"2010-12-01","612.64","379.95","1601.25","685.22","343.81","268.44","939.93"
"2011-01-01","625.52","393.05","1619.83","695.84","347.71","288.99","985.10"
"2011-02-01","632.97","412.46","1597.92","735.68","352.43","305.53","1048.72"
"2011-03-01","685.37","410.77","1835.41","725.06","350.01","309.80","1034.43"
"2011-04-01","721.02","415.50","1985.33","743.71","332.99","320.33","927.12"
"2011-05-01","684.05","405.18","1847.47","722.81","320.00","316.10","922.67"
"2011-06-01","667.94","406.14","1770.69","723.68","324.46","314.94","943.41"
"2011-07-01","681.24","422.11","1781.68","779.92","335.78","310.33","997.37"
"2011-08-01","642.44","414.18","1633.76","778.36","317.53","304.41","915.47"
"2011-09-01","636.96","404.20","1637.96","757.16","325.39","291.01","863.14"
"2011-10-01","622.63","386.83","1625.58","715.62","308.82","285.37","813.51"
"2011-11-01","649.63","388.53","1742.31","718.26","303.43","289.09","884.52"
"2011-12-01","648.52","387.95","1739.02","715.39","308.38","286.65","894.74"
"2012-01-01","640.70","399.90","1664.73","752.13","312.02","291.11","943.50"
"2012-02-01","640.54","414.60","1619.04","775.97","320.93","304.11","1018.00"
"2012-03-01","649.48","416.13","1653.84","759.92","321.92","314.87","1021.17"
"2012-04-01","648.88","413.18","1660.09","740.20","325.75","317.35","1004.61"
"2012-05-01","626.61","405.78","1583.32","718.09","339.26","308.15","943.57"
"2012-06-01","566.63","398.93","1343.42","698.99","331.60","307.82","917.36"
"2012-07-01","585.59","384.29","1464.90","627.97","333.14","316.91","900.63"
"2012-08-01","627.78","400.06","1605.20","695.41","333.78","311.76","891.33"
"2012-09-01","641.98","405.34","1653.15","733.52","326.68","304.91","941.62"
"2012-10-01","621.39","406.77","1557.47","728.84","331.18","309.52","881.88"
"2012-11-01","593.37","405.67","1438.45","715.59","350.02","305.42","893.38"
"2012-12-01","595.43","412.26","1429.73","727.02","367.27","305.11","934.78"
"2013-01-01","602.20","399.64","1492.19","666.48","372.22","307.37","1024.35"
"2013-02-01","621.94","403.31","1566.25","664.11","382.75","311.42","1043.55"
"2013-03-01","623.40","395.31","1595.41","643.28","386.42","303.39","1091.14"
"2013-04-01","626.10","388.16","1627.51","624.88","376.15","302.22","1132.35"
"2013-05-01","620.47","381.24","1623.02","611.70","350.38","307.58","1060.55"
"2013-06-01","623.95","374.20","1660.36","594.33","338.74","307.58","1071.08"
"2013-07-01","642.80","367.94","1767.55","580.51","349.95","296.26","1078.55"
"2013-08-01","640.10","368.21","1753.96","594.81","350.25","287.90","1108.52"
"2013-09-01","631.57","363.16","1731.27","590.28","365.33","273.34","1102.81"
"2013-10-01","604.27","361.63","1610.73","591.51","370.21","267.32","1114.42"
"2013-11-01","574.86","360.54","1482.44","579.67","383.38","265.87","1145.21"
"2013-12-01","607.23","355.59","1643.32","573.90","383.10","258.69","1171.29"
"2014-01-01","613.00","359.51","1658.61","581.87","383.26","259.91","1368.75"
"2014-02-01","638.50","356.51","1780.44","565.52","383.15","263.90","1326.56"
"2014-03-01","635.52","366.97","1736.00","563.62","377.66","293.20","1312.69"
"2014-04-01","646.68","372.76","1768.12","582.54","371.22","294.92","1473.69"
"2014-05-01","646.24","373.26","1764.70","588.87","368.62","296.95","1267.48"
"2014-06-01","655.66","373.18","1806.68","589.87","362.23","301.24","1187.37"
"2014-07-01","639.51","379.30","1718.05","597.67","371.13","302.05","1398.21"
"2014-08-01","617.56","373.82","1638.34","594.64","378.66","290.34","1206.75"
"2014-09-01","607.07","363.70","1620.83","578.82","374.53","278.26","1220.53"
"2014-10-01","570.56","359.73","1476.76","562.47","373.28","280.37","1209.39"
"2014-11-01","536.44","359.01","1338.30","560.64","366.82","283.91","1170.44"
"2014-12-01","455.89","356.72","1034.00","551.51","372.14","281.68","1176.50"
"2015-01-01","398.30","346.98","829.23","544.85","360.46","266.75","1300.57"
"2015-02-01","407.23","340.20","887.09","539.79","351.95","259.38","1251.90"
"2015-03-01","393.01","336.46","833.92","530.60","333.69","263.57","1317.27"
"2015-04-01","417.16","335.18","948.59","538.60","318.66","260.51","1503.55"
"2015-05-01","443.03","338.67","1062.41","546.57","315.32","267.03","1404.91"
"2015-06-01","443.06","339.14","1060.97","527.97","336.31","272.26","1188.73"
"2015-07-01","400.66","329.62","887.71","505.50","327.06","268.55","1188.67"
"2015-08-01","352.57","312.58","720.65","484.89","309.47","251.60","1128.87"
"2015-09-01","362.28","303.58","786.42","488.37","295.76","238.15","1006.86"
"2015-10-01","361.89","305.72","778.95","492.09","307.08","234.99","1033.26"
"2015-11-01","342.85","296.65","718.98","469.54","304.25","228.67","1055.11"
"2015-12-01","316.40","289.62","624.48","460.34","310.57","215.43","1087.94"
"2016-01-01","292.92","286.38","534.22","457.28","303.61","211.34","1229.53"
"2016-02-01","290.87","294.79","507.35","478.02","307.35","214.33","1372.86"
"2016-03-01","329.16","305.96","635.92","490.06","334.27","220.01","1355.54"
"2016-04-01","344.24","309.47","692.71","497.07","334.51","224.38","1295.87"
"2016-05-01","369.95","313.09","799.26","499.58","346.44","227.53","1176.38"
"2016-06-01","380.92","312.94","852.18","506.62","345.38","224.82","1128.00"
"2016-07-01","366.42","313.42","781.58","525.91","359.88","209.50","1184.65"
"2016-08-01","361.65","308.62","773.99","508.75","360.04","208.37","1173.13"
"2016-09-01","360.31","300.89","790.53","502.03","356.03","197.17","1230.65"
"2016-10-01","376.62","299.43","876.09","495.61","360.00","196.47","1197.00"
"2016-11-01","361.75","302.53","792.35","507.00","354.49","199.08","1197.12"
"2016-12-01","388.78","304.70","919.91","494.91","357.14","207.45","1239.72"
"2017-01-01","398.40","310.00","953.59","500.87","360.55","212.38","1329.93"
"2017-02-01","409.90","328.19","953.84","540.08","389.67","217.65","1361.16"
"2017-03-01","393.49","321.25","898.45","516.34","393.51","213.71","1413.00"
"2017-04-01","410.04","326.40","959.87","524.15","411.00","213.68","1424.68"
"2017-05-01","401.57","327.29","918.38","519.63","403.22","223.46","1231.50"
"2017-06-01","388.67","332.93","846.59","520.42","399.49","237.11","1170.94"
"2017-07-01","399.54","340.22","875.15","523.08","410.80","245.56","1231.32"
"2017-08-01","404.85","341.65","894.63","549.13","405.98","236.45","1221.64"
"2017-09-01","409.96","342.20","915.97","560.83","420.27","227.04","1185.76"
"2017-10-01","418.18","345.48","943.55","559.71","445.03","225.51","1190.80"
"2017-11-01","436.38","352.43","1006.87","560.86","461.26","232.89","1203.23"
"2017-12-01","420.92","347.78","949.90","552.30","457.50","228.63","1243.29"
"2018-01-01","446.99","361.00","1029.88","575.99","481.00","233.29","1336.78"
"2018-02-01","436.32","365.76","972.02","577.25","499.65","235.71","1340.47"
"2018-03-01","445.79","364.21","1016.89","566.86","505.27","234.40","1462.79"
"2018-04-01","478.64","375.03","1133.46","583.76","528.40","234.18","1832.17"
"2018-05-01","495.50","379.74","1197.36","584.93","568.67","240.05","1181.08"
"2018-06-01","479.40","375.26","1136.68","584.84","557.01","235.33","1152.98"
"2018-07-01","475.01","360.36","1158.47","557.32","534.14","226.39","1231.80"
"2018-08-01","448.30","345.87","1076.69","544.38","489.58","220.68","1119.59"
"2018-09-01","446.79","337.86","1092.60","538.09","460.72","217.00","1172.69"
"2018-10-01","419.96","334.72","980.28","543.72","417.05","222.79","1204.14"
"2018-11-01","372.02","332.14","783.23","535.16","426.35","219.10","1167.97"
"2018-12-01","389.10","329.10","860.11","536.99","418.10","213.87","1227.03"
"2019-01-01","413.21","334.24","952.05","540.78","429.18","218.16","1273.64"
"2019-02-01","429.42","345.32","994.29","554.61","460.37","222.08","1345.55"
"2019-03-01","444.23","344.01","1064.93","564.68","429.85","222.53","1378.93"
"2019-04-01","462.46","341.75","1157.56","566.31","404.98","224.45","1418.74"
"2019-05-01","437.96","333.22","1067.61","554.83","396.62","220.44","1169.58"
"2019-06-01","418.88","339.97","961.89","564.59","410.40","223.90","1193.70"
"2019-07-01","430.60","341.53","1009.96","580.82","399.82","220.91","1231.57"
"2019-08-01","419.45","339.90","964.38","597.01","388.90","213.95","1166.64"
"2019-09-01","428.48","337.55","1011.21","605.36","380.92","206.39","1252.67"
"2019-10-01","410.06","338.88","925.73","599.89","379.28","212.25","1250.99"
"2019-11-01","416.31","340.77","948.26","594.37","385.18","216.79","1252.59"
"2019-12-01","423.25","341.64","976.54","592.33","391.09","217.79","1235.73"
"2020-01-01","412.32","347.45","904.01","605.34","394.65","220.57","1283.02"
"2020-02-01","394.48","344.81","824.54","593.78","412.98","215.81","1218.89"
"2020-03-01","298.63","324.87","486.49","577.18","345.67","209.40","1179.83"
"2020-04-01","230.79","315.13","275.90","576.28","326.25","198.65","1087.33"
"2020-05-01","322.47","327.14","546.16","585.87","352.50","206.85","1155.43"
"2020-06-01","363.03","336.09","688.76","602.48","381.10","205.47","1179.03"
"2020-07-01","387.13","359.59","731.44","636.99","467.14","205.38","1198.30"
"2020-08-01","412.58","388.57","765.61","668.30","589.60","211.57","1153.19"
"2020-09-01","406.70","393.24","730.20","667.25","586.72","220.77","1283.47"
"2020-10-01","402.37","380.44","743.51","670.51","473.97","225.05","1340.76"
"2020-11-01","415.45","389.09","777.36","675.98","502.15","230.43","1318.25"
"2020-12-01","445.14","414.73","838.09","689.23","621.04","239.40","1330.00"
"2021-01-01","481.67","427.50","950.11","699.04","638.22","255.86","1365.17"
"2021-02-01","537.11","451.48","1114.98","713.47","724.75","267.75","1400.94"
"2021-03-01","555.87","460.56","1170.00","715.12","733.75","280.82","1536.52"
"2021-04-01","576.61","501.86","1158.36","737.10","913.52","301.38","1446.05"
"2021-05-01","613.98","546.10","1208.43","793.14","1051.28","319.77","1464.46"
"2021-06-01","623.69","511.91","1325.67","808.49","799.03","315.14","1522.13"
"2021-07-01","619.45","488.35","1366.30","845.54","572.62","329.56","1748.44"
"2021-08-01","591.74","472.54","1289.42","859.54","484.41","332.32","1684.23"
"2021-09-01","617.98","480.51","1381.03","878.83","522.98","316.74","1753.28"
"2021-10-01","679.20","503.84","1586.65","896.85","603.94","318.89","1736.34"
"2021-11-01","665.10","507.01","1516.43","894.40","595.89","331.35","1793.02"
"2021-12-01","640.03","551.17","1298.71","889.66","831.08","333.33","1765.88"
"2022-01-01","711.67","569.22","1528.32","913.36","888.25","337.51","1803.56"
"2022-02-01","778.50","589.71","1736.84","943.05","920.39","349.96","1940.58"
"2022-03-01","882.05","637.19","2036.43","1056.11","935.34","376.49","2038.62"
"2022-04-01","864.32","632.05","1977.56","1086.08","801.46","389.77","1916.26"
"2022-05-01","889.08","603.29","2146.11","1015.32","737.83","394.61","1619.48"
"2022-06-01","869.50","565.51","2162.14","978.12","612.88","379.86","1649.24"
"2022-07-01","779.04","531.37","1872.70","900.65","628.73","344.94","1716.08"
"2022-08-01","744.41","520.19","1759.02","887.90","582.83","346.53","1612.59"
"2022-09-01","682.45","488.01","1586.61","820.45","544.48","328.20","1744.40"
"2022-10-01","671.37","478.90","1563.72","784.95","546.84","326.69","1782.41"
"2022-11-01","652.78","480.63","1487.09","794.39","520.47","335.55","1717.88"
"2022-12-01","610.14","474.62","1336.56","803.18","482.97","333.53","1703.52"
"2023-01-01","619.17","480.07","1358.55","825.77","497.50","328.90","1657.63"
"2023-02-01","623.59","478.16","1379.72","808.07","502.25","329.13","1815.34"
"2023-03-01","606.59","461.71","1349.97","781.29","472.43","320.91","1824.36"
"2023-04-01","633.72","459.63","1460.02","777.08","461.35","321.67","1920.73"
"2023-05-01","590.47","441.02","1331.47","742.12","432.28","318.14","1610.63"
"2023-06-01","589.86","440.46","1330.29","708.12","448.32","327.32","1684.11"
"2023-07-01","618.63","450.59","1421.01","713.37","457.81","342.35","1667.89"
"2023-08-01","626.32","436.55","1485.86","713.57","437.04","322.20","1590.67"
"2023-09-01","649.52","424.98","1614.09","712.68","422.71","304.45","1596.22"
"2023-10-01","619.45","414.30","1514.88","700.26","417.01","291.05","1621.40"
