"id","label","description"
"CDN.AVG.1YTO3Y.AVG","1 to 3 year","Government of Canada marketable bonds - Average yield"
"CDN.AVG.3YTO5Y.AVG","3 to 5 year","Government of Canada marketable bonds - Average yield"
"CDN.AVG.5YTO10Y.AVG","5 to 10 year","Government of Canada marketable bonds - Average yield"
"CDN.AVG.OVER.10.AVG","Over 10 years","Government of Canada marketable bonds - Average yield"
"BD.CDN.2YR.DQ.YLD","2 year","Government of Canada benchmark bond yields"
"BD.CDN.3YR.DQ.YLD","3 year","Government of Canada benchmark bond yields"
"BD.CDN.5YR.DQ.YLD","5 year","Government of Canada benchmark bond yields"
"BD.CDN.7YR.DQ.YLD","7 year","Government of Canada benchmark bond yields"
"BD.CDN.10YR.DQ.YLD","10 year","Government of Canada benchmark bond yields"
"BD.CDN.LONG.DQ.YLD","Long-term","Government of Canada benchmark bond yields"
"BD.CDN.RRB.DQ.YLD","Long-term","Real return bond"